company,domain,country,icpBucket,voiceSignal,whyFit,clearbit_industry,clearbit_sector,employees
LookUp.com.au,lookup.com.au,AU,AI agent / voice agent builders,Lookup.com.au is a business directory and search platform. They could potentially use voice AI to enhance their search capabilities or provide voice-based customer support.,Business directory and search platform that could use voice AI to enhance search or customer support.,Internet Software & Services,Information Technology,15
Morse Micro,morsemicro.com,AU,Platform builders embedding voice automation,"While not directly voice-focused, Morse Micro's Wi-Fi HaLow technology enables IoT devices, some of which may incorporate voice assistants or communication features, creating a need for voice infrastructure.","Morse Micro provides the underlying technology for IoT devices. Some of these devices may require voice capabilities, making them a potential customer for Telnyx's voice AI.",Semiconductors & Semiconductor Equipment,Information Technology,180
Clipchamp (Microsoft),clipchamp.com,AU,Platform builders embedding voice automation,"Clipchamp, now part of Microsoft, offers video editing tools. While primarily visual, some users might require voiceover recording or audio transcription, creating a need for voice infrastructure.","Clipchamp's video editing platform could benefit from Telnyx's voice AI for features like voiceover recording, transcription, and audio enhancement.",Internet Software & Services,Information Technology,60
Nuix,nuix.com,AU,Vertical software companies with a phone-native workflow,Nuix provides investigative analytics and intelligence software. Legal and forensic investigations often involve analyzing audio recordings and transcripts. They likely have phone-heavy workflows.,"Nuix's platform could use Telnyx's voice AI to automate audio transcription, improve audio analysis, and enhance investigative workflows.",Internet Software & Services,Information Technology,420
DroneShield,droneshield.com,AU,Vertical software companies with a phone-native workflow,DroneShield provides drone detection and mitigation solutions. Security and emergency response situations often involve phone calls for immediate communication and coordination. They likely have phone-heavy workflows.,"DroneShield's platform could use Telnyx's voice AI to automate emergency response communication, improve coordination during security incidents, and enhance overall situational awareness.",Aerospace & Defense,Industrials,90
Halaxy,halaxy.com,AU,Vertical software companies with a phone-native workflow,"Halaxy is a practice management software for healthcare professionals. Appointment scheduling, patient communication, and billing often involve phone calls. They likely have phone-heavy workflows.","Halaxy's platform could use Telnyx's voice AI to automate appointment scheduling, improve patient communication, and streamline billing processes.",Internet Software & Services,Information Technology,30
Clipchamp,clipchamp.com,AU,Vertical Software,Phone-heavy workflow central to the product,"Clipchamp, a video editing platform, likely uses phone calls for customer support, especially for enterprise clients or complex technical issues.",Internet Software & Services,Information Technology,60
Zip Co,zip.co,AU,Fintech,Phone-heavy workflow central to the product,"Zip Co, another buy now, pay later service, similarly relies on phone calls for customer support, fraud prevention, and collections.",Banks,Financials,1498
Linkly,linkly.com.au,AU,Fintech,Phone-heavy workflow central to the product,"Linkly provides payment solutions and likely uses phone calls for technical support, merchant onboarding, and resolving payment processing issues.",Diversified Financial Services,Financials,100
Harrison.ai,harrison.ai,AU,Vertical Software,Phone-heavy workflow central to the product,"Harrison.ai develops AI solutions for healthcare, which may involve voice-based communication for patient monitoring, remote consultations, or automated appointment reminders.",IT Services,Information Technology,240
OpenLearning,openlearning.com,AU,Platform builders embedding voice automation,Online learning platform; could integrate voice for language learning or interactive lessons.,"Online learning platforms can benefit from voice AI for language learning features, interactive lessons, or even AI-powered tutoring.",Diversified Consumer Services,Consumer Discretionary,90
Expert360,expert360.com,AU,Vertical software companies with a phone-native workflow,Freelance marketplace; communication between clients and freelancers often involves phone calls.,"Connecting clients with freelancers often requires phone communication for project discussions, interviews, and ongoing collaboration.",Professional Services,Industrials,150
Flare HR,flarehr.com,AU,Vertical software companies with a phone-native workflow,HR software; employee communication and support often involve phone calls.,"HR processes often involve phone communication for onboarding, employee support, and conflict resolution, making voice a key part of their workflow.",Professional Services,Industrials,101
Paytron,paytron.com.au,AU,Vertical software companies with a phone-native workflow,Payroll software; customer support and employee inquiries often involve phone calls.,"Payroll processing often requires phone communication for customer support, employee inquiries, and resolving payment issues.",Capital Markets,Financials,500
MyPass Global,mypassglobal.com,AU,Vertical software companies with a phone-native workflow,Workforce compliance and credential management; verification and communication with workers often involves phone calls.,Verifying worker credentials and ensuring compliance often requires phone communication for confirming information and addressing any issues.,Professional Services,Industrials,90
Brighte,brighte.com.au,AU,Vertical software companies with a phone-native workflow,Fintech company providing financing for home improvements. Customer support and loan application processes likely involve phone calls.,"Brighte's financing platform could benefit from voice AI for automated loan application processing, customer support, and verification.",Renewable Electricity,Utilities,240
Athena Home Loans,athena.com.au,AU,Vertical software companies with a phone-native workflow,Mortgage lender. Loan application and customer support workflows likely involve phone calls.,"Athena Home Loans' mortgage lending process likely involves significant phone-based interactions for customer support, loan application assistance, and verification.",Banks,Financials,180
HotDoc,hotdoc.com.au,AU,Vertical software companies with a phone-native workflow,Online booking platform for healthcare appointments. Appointment reminders and patient communication likely involve phone calls.,"HotDoc's booking platform could leverage voice AI for automated appointment reminders, patient communication, and follow-up calls.",Professional Services,Industrials,150
Beforepay,beforepay.com.au,AU,Vertical software companies with a phone-native workflow,Provides short-term loans. Customer support and collections likely involve phone calls.,"Beforepay's business model likely requires phone communication for customer support, loan application assistance, and collections.",Banks,Financials,45
Finder,finder.com.au,AU,Vertical software companies with a phone-native workflow,Comparison website for financial products. Customer support and product inquiries likely involve phone calls.,"Finder's comparison platform could benefit from voice AI for automated customer support, product recommendations, and lead generation.",Internet Software & Services,Information Technology,150
Propella.ai,propella.ai,AU,AI agent / voice agent builders,Propella.ai focuses on AI-powered automation. They likely build or integrate voice-based automation solutions for various industries.,"Propella.ai specializes in AI-powered automation. They could leverage Telnyx for building voice-based automation solutions for customer service, sales, or other business processes.",Internet Software & Services,Information Technology,30
Carsales.com.au,carsales.com.au,AU,Vertical software companies with a phone-native workflow,Online marketplace for cars. Communication between sellers and potential buyers often involves phone calls.,Carsales.com.au's online marketplace relies on phone communication between sellers and potential buyers. They need reliable voice infrastructure.,Automotive,Consumer Discretionary,600
Indebted,indebted.co,AU,Vertical software companies with a phone-native workflow,Collections workflow where phone calls are central to the product/workflow,"Indebted provides a digital debt collection platform. Collections often involve phone calls, making them a potential user of voice AI infrastructure for automation and efficiency.",Diversified Financial Services,Financials,280
Xref,xref.com,AU,Vertical software companies with a phone-native workflow,Verification workflow where phone calls are central to the product/workflow,"Xref provides automated reference checking software. While primarily digital, some verification processes may involve phone calls, making them a potential user of voice AI infrastructure.",Professional Services,Industrials,90
ShiftCare,shiftcare.com,AU,Vertical software companies with a phone-native workflow,"Product/site mentions scheduling, service operations","ShiftCare provides scheduling and management software for home care providers. Phone calls are likely central to scheduling and coordinating care, making them a potential user of voice AI.",Internet Software & Services,Information Technology,30
Plenti,plenti.com.au,AU,Vertical software companies with a phone-native workflow,"Product/site mentions fintech, collections","Plenti is a lending platform, potentially requiring collections or customer support via phone. Voice AI could streamline these processes.",Diversified Financial Services,Financials,210
Wisr,wisr.com.au,AU,Vertical software companies with a phone-native workflow,"Product/site mentions fintech, collections","Wisr is a lending platform, potentially requiring collections or customer support via phone. Voice AI could streamline these processes.",Banks,Financials,120
Credit Clear,creditclear.com.au,AU,Vertical software companies with a phone-native workflow,Product/site mentions collections,"Credit Clear provides debt collection solutions, making phone calls a central part of their workflow. Voice AI could automate and improve their collection efforts.",Diversified Financial Services,Financials,120
ServiceM8,servicem8.com,AU,Vertical software companies with a phone-native workflow,Product/site mentions service operations,"ServiceM8 provides job management software for service businesses. Phone calls are likely central to scheduling and coordinating services, making them a potential user of voice AI.",Internet Software & Services,Information Technology,30
Ento,ento.com,AU,Vertical software companies with a phone-native workflow,"Product/site mentions scheduling, service operations","Ento provides scheduling and workforce management software. Phone calls are likely central to scheduling and coordinating staff, making them a potential user of voice AI.",Professional Services,Industrials,240
Zip,zip.co,AU,Vertical software companies with a phone-native workflow,"Fintech, customer support","Zip provides buy now pay later solutions. Customer support for payment issues can involve phone calls, making them a potential user of Telnyx Voice AI for improved support experiences.",Banks,Financials,1498
JCurve Solutions,jcurvesolutions.com,AU,Vertical software companies with a phone-native workflow,Customer support,"JCurve Solutions provides ERP solutions. Customer support for ERP issues can involve phone calls, making them a potential user of Telnyx Voice AI for improved support experiences.",Professional Services,Industrials,150
NetEngine,netengine.com.au,AU,Platform builders embedding voice automation,"Mentions telephony, SIP, call routing","NetEngine offers communication solutions that likely involve telephony and call routing, indicating a need for robust voice infrastructure like Telnyx Voice AI.",Internet Software & Services,Information Technology,
Ezidebit,ezidebit.com,AU,Vertical software companies with a phone-native workflow,Job postings mention telephony and call center operations.,"Ezidebit, a payment solutions provider, likely uses telephony for customer support and collections, making them a potential user of voice AI for automation.",Diversified Financial Services,Financials,90
Connect Hearing,connecthearing.com.au,AU,Healthcare Scheduling/Patient Comms,Hearing healthcare provider with appointment scheduling and patient communication likely involving phone calls.,"Needs voice infrastructure for appointment booking, reminders, and patient support.",Health Care Providers & Services,Health Care,300
My Muscle Chef,mymusclechef.com,AU,Vertical Software with Phone-Native Workflows,Meal delivery service with customer support and order management likely involving phone calls.,"Requires voice infrastructure for customer service, order inquiries, and delivery coordination.",Food Products,Consumer Staples,210
Pet Circle,petcircle.com.au,AU,Vertical Software with Phone-Native Workflows,Online pet supply retailer with customer service and order management likely involving phone calls.,"Needs voice infrastructure for customer support, order inquiries, and delivery coordination.",Specialty Retail,Consumer Discretionary,420
Bookipi,bookipi.com,AU,Vertical Software with Phone-Native Workflows,"Appointment scheduling and invoicing software for small businesses, potentially including phone-based appointment reminders and confirmations.",Could use voice infrastructure for appointment reminders and customer communication.,Diversified Financial Services,Financials,30
ServiceSeeking,serviceseeking.com.au,AU,Vertical Software with Phone-Native Workflows,"Similar to Hipages, connecting customers with service providers, likely involving phone calls for job requests and communication.","Needs voice infrastructure for connecting customers and service providers, facilitating job requests and communication.",Internet Software & Services,Information Technology,60
Campaign Monitor,campaignmonitor.com,AU,Vertical Software with Phone-Native Workflows,Email marketing platform; may offer phone support or integrate with telephony systems for customer communication.,Could use voice infrastructure for customer support and sales outreach.,Media,Consumer Discretionary,420
Car Next Door,carnextdoor.com.au,AU,Vertical Software with Phone-Native Workflows,Car sharing platform with customer support and booking management likely involving phone calls.,"Needs voice infrastructure for customer service, booking inquiries, and car owner/borrower communication.",Consumer Services,Consumer Discretionary,90
Splend,splend.com.au,AU,Vertical Software with Phone-Native Workflows,"Car subscription service for ride-sharing drivers, likely involving phone calls for customer support and driver communication.","Requires voice infrastructure for customer service, driver communication, and vehicle management.",Consumer Services,Consumer Discretionary,180
Lendi,lendi.com.au,AU,Vertical Software with Phone-Native Workflows,"Online home loan platform with mortgage brokers, likely involving phone calls for consultations and application support.","Needs voice infrastructure for connecting customers with brokers, facilitating consultations and application support.",Banks,Financials,570
Coviu Global,coviu.com,AU,Healthcare Scheduling/Patient Comms,Telehealth platform with integrated voice and video calling features for remote consultations.,Requires reliable voice infrastructure for telehealth appointments and patient communication workflows.,Health Care Providers & Services,Health Care,75
Updoc,updoc.com.au,AU,Healthcare Scheduling/Patient Comms,"Online telehealth platform facilitating virtual consultations, likely using voice for appointment reminders and follow-up calls.",Requires voice infrastructure for telehealth consultations and patient communication.,Health Care Providers & Services,Health Care,10
Medipass,medipass.com.au,AU,Healthcare Scheduling/Patient Comms,"Platform for healthcare payments and claims, potentially using voice for payment reminders or customer service.",May need voice for payment-related communications and customer support.,Diversified Financial Services,Financials,30
NextMinute,nextminute.com,AU,Field Service/Service Ops,"Job management software for trades and service businesses, likely using voice for scheduling and communication with technicians.","Needs voice capabilities for job dispatch, scheduling, and technician communication.",Construction & Engineering,Industrials,15
Redback Connect,redbackconnect.com.au,AU,Contact Center,"Cloud contact center solution provider, offering features like call routing and IVR.",Requires robust voice infrastructure for its contact center platform.,Internet Software & Services,Information Technology,30
Call Design,calldesign.com.au,AU,Contact Center,"Workforce management software for contact centers, likely integrated with telephony systems.",Needs voice infrastructure for optimizing contact center operations.,Internet Software & Services,Information Technology,75
Call Journey,calljourney.com,AU,AI Voice Startups,Conversation analytics platform that analyzes voice interactions to improve customer experience.,Requires access to voice data and infrastructure for its analytics platform.,Internet Software & Services,Information Technology,180
LocalAgentFinder,localagentfinder.com.au,AU,Vertical Software with Phone-Native Workflows,"Platform connecting real estate agents with potential clients, likely involving phone calls for initial consultations and follow-ups.","The real estate industry relies heavily on phone communication, making LocalAgentFinder a potential user of voice automation for lead qualification and agent matching.",Real Estate,Financials,45
MedEbridge,medebridge.com.au,AU,Healthcare Scheduling/Patient Comms,"Healthcare software solutions, including patient engagement and communication tools, likely involving phone calls for appointment reminders and follow-ups.",MedEbridge's focus on patient engagement makes voice automation a valuable tool for improving communication and adherence.,Health Care Providers & Services,Health Care,
Payble,payble.com.au,AU,Collections,Debt collection software that likely uses phone calls for contacting debtors and negotiating payment plans.,"Debt collection relies heavily on phone communication, making Payble a prime candidate for voice automation to improve efficiency and compliance.",Diversified Financial Services,Financials,15
Slyp,slyp.com.au,AU,Vertical Software with Phone-Native Workflows,"Platform for digital receipts and expense management, potentially using phone calls for customer support and fraud prevention.",Slyp's focus on financial transactions may require phone-based verification and customer support.,Diversified Financial Services,Financials,30
Tanda,tanda.co,AU,Vertical Software with Phone-Native Workflows,"Workforce management software with rostering, time tracking, and payroll features, potentially involving phone calls for shift confirmations and employee communication.",Tanda's focus on workforce management may require phone-based communication for scheduling and employee support.,,,
Xplor,myxplor.com,AU,Vertical Software with Phone-Native Workflows,"Childcare management software with communication features, likely involving phone calls for parent communication and emergency alerts.",Childcare requires reliable phone communication for parent updates and emergency situations.,Diversified Consumer Services,Consumer Discretionary,150
YouLi,youli.io,AU,Vertical Software with Phone-Native Workflows,"Group travel platform, likely using phone calls for customer service and emergency support during trips.",Group travel often requires phone-based customer service and emergency support.,Consumer Services,Consumer Discretionary,10
Everproof,everproof.com,AU,Vertical Software with Phone-Native Workflows,"Compliance management platform, potentially using phone calls for verification and audit trails.",Compliance processes often require phone-based verification and documentation.,Internet Software & Services,Information Technology,5
Go1,go1.com,AU,Vertical Software with Phone-Native Workflows,"Online learning platform, potentially using voice AI for interactive learning experiences and personalized feedback.",Go1's focus on online learning could benefit from voice AI for engaging students and providing personalized support.,Diversified Consumer Services,Consumer Discretionary,600
RedEye,redeye.co,AU,Vertical Software with Phone-Native Workflows,"Asset management software for infrastructure projects, potentially using phone calls for field communication and incident reporting.",Infrastructure projects often require phone-based communication for field operations and emergency response.,Professional Services,Industrials,1750
Covidence,covidence.org,AU,Vertical Software,Systematic review management software; may use voice for collaboration and communication within research teams.,"Collaboration platform for research teams, potentially using voice for communication and discussion of findings.",Internet Software & Services,Information Technology,45
MediRecords,medirecords.com,AU,Healthcare Scheduling/Patient Comms,Cloud-based medical software; likely uses voice for appointment reminders and patient communication.,"Cloud-based medical software with a need for patient communication, including appointment reminders and follow-ups, potentially using voice.",Professional Services,Industrials,150
Coreplus,coreplus.com.au,AU,Healthcare Scheduling/Patient Comms,Allied health practice management software; likely uses voice for appointment reminders and patient communication.,"Allied health practice management software requiring patient communication, including appointment reminders and follow-ups, potentially using voice.",Internet Software & Services,Information Technology,30
Cliniko,cliniko.com,AU,Healthcare Scheduling/Patient Comms,Practice management software for healthcare clinics; likely uses voice for appointment reminders and patient communication.,"Practice management software requiring patient communication, including appointment reminders and follow-ups, potentially using voice.",Health Care Providers & Services,Health Care,15
Smartsoft,smartsoft.com.au,AU,Vertical Software,Software for debt collection agencies; likely uses voice for outbound calls and communication with debtors.,"Debt collection software requiring outbound calling and communication with debtors, making voice a critical component.",Internet Software & Services,Information Technology,40
Collection House,collectionhouse.com.au,AU,Collections,Debt collection agency; heavily relies on voice for contacting debtors and negotiating payment plans.,"Debt collection agency with a high volume of outbound calls, making voice a core part of their operations.",Diversified Financial Services,Financials,450
Credit Corp,creditcorp.com.au,AU,Collections,Debt collection agency; heavily relies on voice for contacting debtors and negotiating payment plans.,"Debt collection agency with a high volume of outbound calls, making voice a core part of their operations.",Diversified Financial Services,Financials,2500
Recoveries Corp,recoveriescorp.com.au,AU,Collections,Debt collection agency; heavily relies on voice for contacting debtors and negotiating payment plans.,"Debt collection agency with a high volume of outbound calls, making voice a core part of their operations.",Diversified Financial Services,Financials,420
ACR,acr.com.au,AU,Collections,Debt collection agency; heavily relies on voice for contacting debtors and negotiating payment plans.,"Debt collection agency with a high volume of outbound calls, making voice a core part of their operations.",Communications Equipment,Information Technology,10
Probe CX,probegroup.com.au,AU,Contact Center,Contact center solutions provider; heavily relies on voice for customer service and support.,"Contact center solutions provider with a high volume of inbound and outbound calls, making voice a core part of their operations.",Professional Services,Industrials,3250
Downer Group,downergroup.com,AU,Field Service/Service Ops,Infrastructure and services company; likely uses voice for dispatching field technicians and coordinating service requests.,"Infrastructure and services company needing communication between dispatchers and field technicians, potentially using voice for real-time coordination.",Construction & Engineering,Industrials,31000
Programmed,programmed.com.au,AU,Field Service/Service Ops,Staffing and maintenance services company; likely uses voice for dispatching field technicians and coordinating service requests.,"Staffing and maintenance services company needing communication between dispatchers and field technicians, potentially using voice for real-time coordination.",Professional Services,Industrials,20000
Spotless Group,spotless.com.au,AU,Field Service/Service Ops,Integrated services company; likely uses voice for dispatching field technicians and coordinating service requests.,"Integrated services company needing communication between dispatchers and field technicians, potentially using voice for real-time coordination.",Professional Services,Industrials,36000
Active Tree Services,activetreeservices.com.au,AU,Field Service/Service Ops,Tree services company; likely uses voice for scheduling appointments and coordinating field crews.,"Tree services company needing communication between dispatchers and field crews, potentially using voice for scheduling and coordination.",Food Products,Consumer Staples,330
Telstra Health,telstrahealth.com,AU,Healthcare Scheduling/Patient Comms,"Provides a range of digital health solutions, including telehealth and remote monitoring.","Telstra Health provides a range of digital health solutions, including telehealth and remote monitoring. They are a strong fit for Telnyx Voice AI infrastructure.",Internet Software & Services,Information Technology,1250
Instacare,instacare.com.au,AU,Healthcare Scheduling/Patient Comms,"Appointment reminders, patient follow-up calls, automated check-in via phone.",Healthcare scheduling and patient communication platform heavily reliant on automated voice interactions for reminders and follow-ups.,Health Care Providers & Services,Health Care,60
ezyCollect,ezycollect.com.au,AU,Collections,"Automated payment reminders via phone, integration with accounting software for collections workflows.",Accounts receivable automation platform using voice for payment reminders and collections.,Diversified Financial Services,Financials,90
Debt Busters,debtbusters.com.au,AU,Collections,"Debt management and negotiation services, requiring frequent phone communication with clients and creditors.",Debt management company that relies on phone calls for client communication and negotiation.,Diversified Financial Services,Financials,30
Medilink,medilink.com.au,AU,Healthcare Scheduling/Patient Comms,"Appointment scheduling, patient reminders, and communication tools for medical practices.",Practice management software with features for appointment reminders and patient communication.,Internet Software & Services,Information Technology,5
Clintel Systems,clintel.com.au,AU,Healthcare Scheduling/Patient Comms,"Appointment reminders, patient communication, and automated reminders for healthcare practices.",Practice management software with features for appointment reminders and patient communication.,Internet Software & Services,Information Technology,30
Credit Simple,creditsimple.com.au,AU,Collections,"Credit reporting and debt management services, requiring frequent phone communication with clients.",Credit reporting and debt management company that relies on phone calls for client communication.,Diversified Financial Services,Financials,10
iAuditor (SafetyCulture),safetyculture.com,AU,Vertical Software with Phone-Native Workflows,Safety inspection and audit platform; may use voice for incident reporting and communication.,Safety inspection platform that could benefit from voice for incident reporting and communication.,Internet Software & Services,Information Technology,690
Octopus Deploy,octopus.com,AU,Platform Builder Embedding Voice Automation,Deployment automation platform; may use voice for alerting and incident management.,Deployment automation platform that could use voice for critical alerting and incident management.,Internet Software & Services,Information Technology,211
Mable,mable.com.au,AU,Vertical Software with Phone-Native Workflows,Platform connecting people with disabilities with support workers; uses voice for scheduling and communication.,"Platform connecting people with disabilities with support workers, requiring voice for scheduling and support communication.",Family Services,Consumer Discretionary,150
GoCatch,gocatch.com,AU,Vertical Software with Phone-Native Workflows,Taxi booking platform; uses voice for driver-passenger communication and dispatch.,Taxi booking platform that relies on voice for driver-passenger communication and dispatch.,Road & Rail,Industrials,30
Ingogo,ingogo.com.au,AU,Vertical Software with Phone-Native Workflows,Taxi booking and payment platform; uses voice for driver-passenger communication and support.,Taxi booking and payment platform that relies on voice for driver-passenger communication and support.,Road & Rail,Industrials,60
PageUp,pageuppeople.com,AU,Vertical Software with Phone-Native Workflows,Talent management software; may use voice for candidate screening and interview scheduling.,Talent management software that could integrate voice for candidate screening and interview scheduling.,Professional Services,Industrials,420
Elmo Software,elmosoftware.com.au,AU,Vertical Software with Phone-Native Workflows,HR and payroll software; may use voice for employee inquiries and support.,HR and payroll software that could use voice for employee inquiries and support.,Professional Services,Industrials,720
