company,domain,country,vertical,useCase,whyFit,clearbit_industry,clearbit_sector,employees
"Go-jek","gojek.com","ID","Transportation/Super App","Driver communication, customer support, order confirmation.","Large-scale operations requiring reliable and scalable voice infrastructure for driver and customer interactions.","Road & Rail","Industrials","25525"
"PropertyGuru","propertyguru.com.sg","SG","Real Estate","Lead generation, customer support, property inquiries.","Uses voice for connecting potential buyers with agents and providing customer support for property-related inquiries.","Real Estate","Financials","2500"
"Atlassian","atlassian.com","AU","SaaS (Collaboration)","Customer support, product demos, internal communication.","Provides software tools for collaboration and could use voice for customer support and internal communication.","Internet Software & Services","Information Technology","19266"
"Canva","canva.com","AU","SaaS (Design)","Customer support, product demos, user feedback.","Offers a design platform and could use voice for customer support and gathering user feedback.","Software","Information Technology","3500"
"MedPeer","medpeer.jp","JP","Healthcare Tech","Doctor-to-doctor consultations, medical information sharing.","Facilitates communication between doctors and could use voice for consultations and information sharing.","Health Care Providers & Services","Health Care","None"
"Money Forward","moneyforward.com","JP","Fintech (Personal Finance)","Customer support, financial advice, account management.","Provides personal finance management tools and could use voice for customer support and financial advice.","Internet Software & Services","Information Technology","2597"
"Sansan","sansan.com","JP","SaaS (Business Card Management)","Sales calls, customer support, lead generation.","Offers a business card management platform and could use voice for sales calls and customer support.","IT Services","Information Technology","114"
"Grab","grab.com","SG","Transportation/Super App","Driver communication, customer support, order confirmation.","Similar to Go-jek, requiring reliable voice infrastructure for driver and customer interactions.","Road & Rail","Industrials","8834"
"Sea Limited (Shopee)","seagroup.com","SG","E-commerce","Customer service, seller support, order inquiries.","Another large e-commerce platform with high voice communication needs.","Internet Software & Services","Information Technology","3000"
"Kakao","kakao.com","KR","Internet Services","Customer support, voice search, AI assistant.","Offers a wide range of internet services and could use voice for customer support and AI-powered features.","Internet Software & Services","Information Technology","15678"
"Coupang","coupang.com","KR","E-commerce","Customer service, delivery updates, order inquiries.","Major e-commerce player needing robust voice infrastructure for customer communication.","Air Freight & Logistics","Industrials","63000"
"Naver","naver.com","KR","Internet Services","Voice search, AI assistant, customer support.","Leading internet portal with potential use cases for voice-powered services.","Internet Software & Services","Information Technology","2790"
"Cathay Pacific","cathaypacific.com","HK","Travel Tech (Airline)","Customer service, booking changes, flight information.","Major airline requiring reliable voice communication for customer support and flight-related inquiries.","Airlines","Industrials","16400"
"91springboard","91springboard.com","IN","Coworking Space","Member communication, event announcements, facility management.","Manages multiple coworking spaces and could use voice for member communication and facility management.","Real Estate","Financials","330"
"iPrice Group","iprice.my","MY","E-commerce (Price Comparison)","Customer support, merchant communication, product inquiries.","Operates a price comparison platform and could use voice for customer support and merchant communication.","Internet Software & Services","Information Technology","270"
"Line Corporation","linecorp.com","KR","Internet Services","Voice calls, AI assistant, customer support.","Offers a popular messaging app and could use voice for various features and customer support.","Internet Software & Services","Information Technology","2250"
"GliaCloud","gliacloud.com","TW","AI-native Startup","AI-powered video creation and editing platform.","Potentially integrating voice AI for transcription, voiceovers, and automated video editing workflows.","Internet Software & Services","Information Technology","30"
"Mediquitous","mediquitous.com","KR","Healthcare Tech","Remote patient monitoring and telehealth solutions.","Voice-enabled remote monitoring, virtual consultations, and patient communication.","Personal Products","Consumer Staples","35"
"CX Lavender","cxlavender.com.au","AU","BPO","Customer experience and marketing solutions provider.","Uses voice in customer engagement strategies, contact centers, and marketing campaigns.","Media","Consumer Discretionary","180"
"ADVANCE.AI","advance.ai","SG","Fintech","AI-powered digital identity verification and risk management solutions.","Voice biometrics for identity verification, fraud prevention, and secure transactions.","Internet Software & Services","Information Technology","900"
"Homage","homage.sg","SG","Healthcare Tech","Home care services platform.","Voice-based communication between caregivers, patients, and families, remote monitoring.","Health Care Providers & Services","Health Care","510"
"Lalamove","lalamove.com","HK","Logistics Tech","On-demand delivery platform.","Voice-based dispatch, driver communication, and customer support.","Air Freight & Logistics","Industrials","1400"
"Aider","aider.ai","NZ","AI-Native Startup","AI-powered digital assistant for small businesses.","Voice-based commands, data entry, and business management tasks.","Diversified Financial Services","Financials","45"
"Culture Amp","cultureamp.com","AU","SaaS","Employee experience platform.","Voice-based surveys, feedback collection, and employee communication.","Internet Software & Services","Information Technology","1065"
