company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Foundever (formerly Sitel Group)","foundever.com","Luxembourg","EMEA","BPO","contact-center","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","call center","Customer service and call center solutions."
"Walter Services","walterservices.com","Germany","EMEA","BPO","contact-center","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","business process outsourcing","Contact center and customer communication."
"Sopra Steria","soprasteria.com","France","EMEA","BPO","contact-center","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","European consulting, digital services, and software company with focus on contact centers."
"Computacenter","computacenter.com","United Kingdom","EMEA","BPO","contact-center","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","IT infrastructure services provider that includes contact center solutions."
"Servest Group","servest.co.za","South Africa","EMEA","BPO","contact-center","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","call center operations","Servest Group is a facilities management and services company with a large contact center operation."
"Axians","axians.com","France","EMEA","customer support","voice-api","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Provides contact center and communication solutions."
"Akixi","akixi.com","United Kingdom","EMEA","customer support","voice-api","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","call analytics","Cloud-based call management and reporting solutions."
"SGS","sgs.com","Switzerland","EMEA","BPO","contact-center","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","contact center services","Provides inspection, verification, testing and certification services, including contact center services with high call volumes."
"Echo Managed Services","echo-ms.com","United Kingdom","EMEA","BPO","contact-center","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","business process outsourcing","Customer contact solutions provider."
"Sigma Connected Group","sigmaconnected.com","United Kingdom","EMEA","BPO","contact-center","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","business process outsourcing","Contact center outsourcing."
"Modulai","modulai.io","Sweden","EMEA","customer support","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered voice agents for customer service, handling inquiries and providing support."
"Acapela Group","acapela-group.com","Belgium","EMEA","AI-voice","voice-api","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","text to speech","Develops text-to-speech solutions"
"DeepL","deepl.com","Germany","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice recognition","While known for text translation, DeepL also integrates with voice recognition for real-time translation."
